example_id                                                     | status | run_time        |
./spec/odysseus/docker/client_spec.rb[1:6:2]                   | passed | 0.00024 seconds |
./spec/odysseus/docker/client_spec.rb[1:7:1]                   | passed | 0.00025 seconds |
./spec/odysseus/docker/client_spec.rb[1:7:2]                   | passed | 0.00209 seconds |
./spec/odysseus/docker/client_spec.rb[1:8:1]                   | passed | 0.00011 seconds |
./spec/odysseus/docker/client_spec.rb[1:9:1]                   | passed | 0.00025 seconds |
./spec/odysseus/docker/client_spec.rb[1:9:2]                   | passed | 0.00008 seconds |
./spec/odysseus/docker/client_spec.rb[1:10:1]                  | passed | 0.00026 seconds |
./spec/odysseus/docker/client_spec.rb[1:10:2]                  | passed | 0.00011 seconds |
./spec/odysseus/docker/client_spec.rb[1:11:1]                  | passed | 0.00009 seconds |
./spec/odysseus/docker/client_spec.rb[1:11:2]                  | passed | 0.00015 seconds |
./spec/odysseus/docker/client_spec.rb[1:11:3]                  | passed | 0.00016 seconds |
./spec/odysseus/docker/client_spec.rb[1:11:4]                  | passed | 0.00011 seconds |
./spec/odysseus/docker/client_spec.rb[1:12:1]                  | passed | 0.00011 seconds |
./spec/odysseus/docker/client_spec.rb[1:12:2]                  | passed | 0.00007 seconds |
./spec/odysseus/docker/client_spec.rb[1:12:3]                  | passed | 0.00012 seconds |
./spec/odysseus/docker/client_spec.rb[1:13:1]                  | passed | 0.00012 seconds |
./spec/odysseus/docker/client_spec.rb[1:13:2]                  | passed | 0.00012 seconds |
./spec/odysseus/docker/client_spec.rb[1:13:3]                  | passed | 0.00011 seconds |
./spec/odysseus/docker/client_spec.rb[1:13:4]                  | passed | 0.00011 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:1:1:1] | passed | 0.00042 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:1:1:2] | passed | 0.00033 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:1:1:3] | passed | 0.00036 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:1:2:1] | passed | 0.00026 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:1:2:2] | passed | 0.00023 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:1:3:1] | passed | 0.00071 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:1:4:1] | passed | 0.00026 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:2:1]   | passed | 0.00033 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:2:2]   | passed | 0.00036 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:1:1] | passed | 0.00048 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:1:2] | passed | 0.00048 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:1:3] | passed | 0.0007 seconds  |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:1:4] | passed | 0.00631 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:1:5] | passed | 0.00056 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:2:1] | passed | 0.00044 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:3:1] | passed | 0.00113 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:3:2] | passed | 0.00066 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:3:4:1] | passed | 0.00045 seconds |
./spec/odysseus/orchestrator/accessory_deploy_spec.rb[1:4:1]   | passed | 0.00032 seconds |
./spec/odysseus/orchestrator/job_deploy_spec.rb[1:1:1:1]       | passed | 0.0004 seconds  |
./spec/odysseus/orchestrator/job_deploy_spec.rb[1:1:1:2]       | passed | 0.00052 seconds |
./spec/odysseus/orchestrator/job_deploy_spec.rb[1:1:1:3]       | passed | 0.00039 seconds |
./spec/odysseus/orchestrator/job_deploy_spec.rb[1:1:2:1]       | passed | 0.00053 seconds |
./spec/odysseus/orchestrator/job_deploy_spec.rb[1:1:3:1]       | passed | 0.00072 seconds |
./spec/odysseus/orchestrator/job_deploy_spec.rb[1:1:4:1]       | passed | 0.00062 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:1]         | passed | 0.00048 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:2]         | passed | 0.00034 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:3]         | passed | 0.00047 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:4]         | passed | 0.00038 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:5]         | passed | 0.00042 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:6]         | passed | 0.00043 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:7]         | passed | 0.00039 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:8:1]       | passed | 0.00097 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:8:2]       | passed | 0.00423 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:8:3]       | passed | 0.00076 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:9]         | passed | 0.00069 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:1:10]        | passed | 0.00037 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:2:1]         | passed | 0.00045 seconds |
./spec/odysseus/orchestrator/web_deploy_spec.rb[1:2:2]         | passed | 0.00058 seconds |
